what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1415823327578
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415823330663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823333205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823338472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1415823338551
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415823341074
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415823354743
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415823357625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823362525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823369989
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1415823372941
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415823376596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823378093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823386832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1415823386910
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1415823388985
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1415823391058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823392947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823396926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1415823397036
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415823398940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823402657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823403780
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1415823403967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823404014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823407244
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415823407603
stopped,bundle,org.eclipse.mylyn.ide.ant,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ant",1415823410084
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1415823410162
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1415823410225
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1415823410443
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1415825723308
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1415825723324
